Название;Описание;Бананы;Точкоины
пиар вашего клуба;просто пиарю ваш клуб в сообщении клуба;650;0
Вступаю в ваш клуб;вступаю к вам в клуб либо с Sasha_karatist либо с CHIPI_CHIPI228;60;0
АДМИН НАВСЕГДА НЕ ПОЛНЫЙ ЕСЛИ БУДИТЕ ЗЛОБОУПОТРЕБЛЯТЬ КИКАЮ ИЗ КЛУБА;админ без админ понели там где можно довать права и без сообщений клуба;10.000;0
Быть на доске почета;просто доска почета;138;0
Титул SiGmA;купить может только 1 человек;100;0
Титул LeGeNdS;купить может только 1 человек;110;0
Титул УчАсТнИк;купить может только 5 человек;70;0
Титул ПоBеLиTеЛь LLlаXмAт;купить может только 1 человек;250;0
Титул п0вЕлNтEлЬ тЬмbl;купить могут 2 человека;129;0
Титул СкОр0сTрEл;получаете за большой актив в турнирах по ультро пуле и по пуле;0;0
Титул АкТиВнЫй;можно получить за сильный актив он как бы принадлежит мне потому что у меня много актива но для вас) если у вас в турики МЕЖКЛУБНОМ будет более 120 очков то вы получаете этот титул если чуть чуть меньше пишите мне в лч я разберусь;0;0
